MONTH,DAY,Date,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLED,CANCELLATION_REASON,ID
1,1,1/1/15,2967,N923MQ,DFW,SAV,1,B,112967N923MQ
1,1,1/1/15,3676,N612MQ,DFW,AMA,1,B,113676N612MQ
1,1,1/1/15,2263,N434AA,DFW,CMH,1,B,112263N434AA
1,1,1/1/15,3433,N813MQ,DFW,JAN,1,B,113433N813MQ
1,1,1/1/15,3222,N631MQ,DFW,MSN,1,B,113222N631MQ
1,1,1/1/15,2755,N692MQ,DFW,LFT,1,B,112755N692MQ
1,1,1/1/15,3007,N649MQ,DFW,GRR,1,B,113007N649MQ
1,1,1/1/15,2556,N906EV,DFW,CLL,1,A,112556N906EV
1,1,1/1/15,3342,N817MQ,DFW,LEX,1,B,113342N817MQ
1,1,1/1/15,3364,N689MQ,DFW,BHM,1,B,113364N689MQ
1,1,1/1/15,641,,LAX,HNL,1,A,11641
1,1,1/1/15,3083,N512MQ,ROC,ORD,1,A,113083N512MQ
1,1,1/1/15,3362,N507MQ,MAF,DFW,1,B,113362N507MQ
1,1,1/1/15,130,N012AA,TPA,MIA,1,A,11130N012AA
1,1,1/1/15,4575,N14972,IAH,MAF,1,C,114575N14972
1,1,1/1/15,1487,N505AA,OMA,DFW,1,B,111487N505AA
1,1,1/1/15,2568,N909EV,DFW,SPS,1,A,112568N909EV
1,1,1/1/15,2939,N629MQ,DFW,FWA,1,B,112939N629MQ
1,1,1/1/15,3286,N642MQ,SHV,DFW,1,B,113286N642MQ
1,1,1/1/15,3482,N836MQ,DFW,SGF,1,B,113482N836MQ
1,1,1/1/15,3638,N514MQ,DFW,CID,1,B,113638N514MQ
1,1,1/1/15,323,N520AA,STL,DFW,1,B,11323N520AA
1,1,1/1/15,2337,N553AA,DFW,SAN,1,B,112337N553AA
1,1,1/1/15,2520,N877AS,DFW,CRP,1,A,112520N877AS
1,1,1/1/15,2827,N636MQ,TOL,ORD,1,A,112827N636MQ
1,1,1/1/15,2944,N939MQ,DFW,FSM,1,B,112944N939MQ
1,1,1/1/15,2888,N614MQ,DFW,MGM,1,B,112888N614MQ
1,1,1/1/15,2515,N877AS,DFW,SJT,1,A,112515N877AS
1,1,1/1/15,3296,N922MQ,DFW,LRD,1,B,113296N922MQ
1,1,1/1/15,2222,N3FXAA,DFW,PHL,1,B,112222N3FXAA
1,1,1/1/15,2563,N902EV,CRP,DFW,1,A,112563N902EV
